,pdbid,binding_affinity
0,4llx,2.89
1,5c28,5.66
2,3uuo,7.96
3,3ui7,9.00
4,5c2h,11.09
5,2v00,3.66
6,3wz8,5.82
7,3pww,7.32
8,3prs,7.82
9,3uri,9.00
10,4m0z,5.19
11,4m0y,6.46
12,3qgy,7.80
13,4qd6,8.64
14,4rfm,10.05
15,4cr9,4.10
16,4cra,7.22
17,4x6p,8.30
18,4crc,8.72
19,4ty7,9.52
20,5aba,2.98
21,5a7b,3.57
22,4agn,3.97
23,4agp,4.69
24,4agq,5.01
25,3bgz,6.26
26,3jya,6.89
27,2c3i,7.60
28,4k18,8.96
29,5dwr,11.22
30,3mss,4.66
31,3k5v,6.30
32,3pyy,6.86
33,2v7a,8.30
34,4twp,10.00
35,3wtj,6.53
36,3zdg,7.10
37,3u8k,8.66
38,4qac,9.40
39,3u8n,10.17
40,1a30,4.30
41,2qnq,6.11
42,1g2k,7.96
43,1eby,9.70
44,3o9i,11.82
45,4lzs,4.80
46,3u5j,5.61
47,4wiv,6.26
48,4ogj,6.79
49,3p5o,7.30
50,1ps3,2.28
51,3dx1,3.58
52,3d4z,4.89
53,3dx2,6.82
54,3ejr,8.57
55,3l7b,2.40
56,4eky,3.52
57,3g2n,4.09
58,3syr,5.10
59,3ebp,5.91
60,2w66,4.05
61,2w4x,4.85
62,2wca,5.60
63,2xj7,6.66
64,2vvn,7.30
65,3aru,3.22
66,3arv,5.64
67,3ary,6.00
68,3arq,6.40
69,3arp,7.15
70,4ih5,4.11
71,4ih7,5.24
72,3cj4,6.51
73,4eo8,8.15
74,3gnw,9.10
75,1gpk,5.37
76,1gpn,6.48
77,1h23,8.35
78,1h22,9.10
79,1e66,9.89
80,3f3a,4.19
81,3f3c,6.02
82,4mme,6.50
83,3f3d,7.16
84,3f3e,7.70
85,2wbg,4.45
86,2cbv,5.48
87,2j78,6.42
88,2j7h,7.19
89,2cet,8.02
90,3udh,2.85
91,3rsx,4.41
92,4djv,6.72
93,2vkm,8.74
94,4gid,10.77
95,4jfs,5.27
96,4j28,5.70
97,2wvt,6.12
98,2xii,7.20
99,4pcs,7.85
100,3rr4,4.55
101,1s38,5.15
102,1r5y,6.46
103,3gc5,7.26
104,3ge7,8.70
105,4dli,5.62
106,2zb1,6.32
107,4f9w,6.94
108,3e92,8.00
109,3e93,8.85
110,4owm,2.96
111,3twp,3.92
112,3r88,4.82
113,4gkm,5.17
114,3qqs,5.82
115,3gv9,2.12
116,3gr2,2.52
117,4kz6,3.10
118,4jxs,4.74
119,2r9w,5.10
120,2hb1,3.80
121,1bzc,4.92
122,2qbr,6.33
123,2qbq,7.44
124,2qbp,8.40
125,1q8t,4.76
126,1ydr,5.52
127,1q8u,5.96
128,1ydt,7.32
129,3ag9,8.05
130,3fcq,2.77
131,1z9g,5.64
132,1qf1,7.32
133,5tmn,8.04
134,4tmn,10.17
135,4ddk,2.29
136,4ddh,3.32
137,3ivg,4.30
138,3coz,5.57
139,3coy,6.02
140,3pxf,4.43
141,4eor,6.30
142,2xnb,6.83
143,1pxn,7.15
144,2fvd,8.52
145,4k77,6.63
146,4e5w,7.66
147,4ivb,8.72
148,4ivd,9.52
149,4ivc,10.00
150,4f09,6.70
151,4gfm,7.22
152,4hge,7.92
153,4e6q,8.36
154,4jia,9.22
155,2brb,4.86
156,2br1,5.14
157,3jvr,5.72
158,3jvs,6.54
159,1nvq,8.25
160,3acw,4.76
161,4ea2,6.44
162,2zcr,6.87
163,2zy1,7.40
164,2zcq,8.82
165,1bcu,3.28
166,3bv9,5.36
167,1oyt,7.24
168,2zda,8.40
169,3utu,10.92
170,3u9q,4.38
171,2yfe,6.63
172,3fur,8.00
173,3b1m,8.48
174,2p4y,9.00
175,3uo4,6.52
176,3up2,7.40
177,3e5a,8.23
178,2wtv,8.74
179,3myg,10.70
180,3kgp,2.57
181,1c5z,4.01
182,1o5b,5.77
183,1owh,7.40
184,1sqa,9.21
185,4jsz,2.30
186,3kwa,4.08
187,2weg,6.50
188,3ryj,7.80
189,3dd0,9.00
190,2xdl,3.10
191,3b27,5.16
192,1yc1,6.17
193,3rlr,7.52
194,2yki,9.46
195,1z95,7.12
196,3b68,8.40
197,3b5r,8.77
198,3b65,9.27
199,3g0w,9.52
200,4u4s,2.92
201,1p1q,4.89
202,1syi,5.44
203,1p1n,6.80
204,2al5,8.40
205,3g2z,2.36
206,3g31,2.89
207,4de2,4.12
208,4de3,5.52
209,4de1,5.96
210,1vso,4.72
211,4dld,5.82
212,3gbb,6.90
213,3fv2,8.11
214,3fv1,9.30
215,4mgd,4.69
216,2qe4,7.96
217,1qkt,9.04
218,2pog,9.54
219,2p15,10.30
220,2y5h,5.79
221,1lpg,7.09
222,2xbv,8.43
223,1z6e,9.72
224,1mq6,11.15
225,1nc3,5.00
226,1nc1,6.12
227,1y6r,10.11
228,4f2w,11.30
229,4f3c,11.82
230,1uto,2.27
231,4abg,3.57
232,3gy4,5.10
233,1k1i,6.58
234,1o3f,7.96
235,2yge,5.06
236,2fxs,6.06
237,2iwx,6.68
238,2wer,7.05
239,2vw5,8.52
240,4kzq,6.10
241,4kzu,6.50
242,4j21,7.41
243,4j3l,7.80
244,3kr8,8.10
245,2ymd,3.16
246,2wnc,6.32
247,2xys,7.42
248,2wn9,8.52
249,2x00,11.33
250,3ozt,4.13
251,3ozs,5.33
252,3oe5,6.88
253,3oe4,7.47
254,3nw9,9.00
255,3ao4,2.07
256,3zt2,2.84
257,3zsx,3.28
258,4cig,3.67
259,3zso,5.12
260,3n7a,3.70
261,4ciw,4.82
262,3n86,5.64
263,3n76,6.85
264,2xb8,7.59
265,4bkt,3.62
266,4w9c,4.65
267,4w9l,5.02
268,4w9i,5.96
269,4w9h,6.73
270,3nq9,4.03
271,3ueu,5.24
272,3uev,5.89
273,3uew,6.31
274,3uex,6.92
275,3lka,2.82
276,3ehy,5.85
277,3tsk,7.17
278,3nx7,8.10
279,4gr0,9.55
280,3dxg,2.40
281,3d6q,3.76
282,1w4o,5.22
283,1o0h,5.92
284,1u1b,7.80
